email_length,number_of_links,number_of_attachments,presence_of_urgent_keywords,sender_domain_type,html_content_flag,email_text,phishing_email
461.73,3.17,2.04,Absent,Free-Webmail/Common Provider,Absent,Thank you for your payment. Your receipt for invoice #8291 is attached for your records. Thank you for your payment. Your receipt for invoice #8291 is attached for your records. Thank you for your payment. Your receipt for invoice #8291 is attached for your records. Thank you for your payment. Your receipt for invoice #8291 is attached for your records. Thank you for your payment. Your receipt for invoice #8291 is attached for your records. Thank you for yo,Legitimate
1231.31,1.66,0.0591,Present,Trusted/Corporate,Present,Immediate Action Required: Your credit card payment failed. Update your billing details at http://bank-update-billing.org/verify to avoid service interruption. Immediate Action Required: Your credit card payment failed. Update your billing details at http://bank-update-billing.org/verify to avoid service interruption. Immediate Action Required: Your credit card payment failed. Update your billing details at http://bank-update-billing.org/verify to avoid service interruption. Immediate Action Required: Your credit card payment failed. Update your billing details at http://bank-update-billing.org/verify to avoid service interruption. Immediate Action Required: Your credit card payment failed. Update your billing details at http://bank-update-billing.org/verify to avoid service interruption. Immediate Action Required: Your credit card payment failed. Update your billing details at http://bank-update-billing.org/verify to avoid service interruption. Immediate Action Required: Your credit card payment failed. Update your billing details at http://bank-update-billing.org/verify to avoid service interruption. Immediate Action Required: Your credit card payment failed. Update your billing details at http://bank-update-b,Phishing
618.4,3.91,0.18,Present,Suspicious/Spoofed,Present,Security Advisory: Please be aware of impersonation scams. Government officials and banks will never ask for your password or OTP over the phone. Security Advisory: Please be aware of impersonation scams. Government officials and banks will never ask for your password or OTP over the phone. Security Advisory: Please be aware of impersonation scams. Government officials and banks will never ask for your password or OTP over the phone. Security Advisory: Please be aware of impersonation scams. Government officials and banks will never ask for your password or OTP over the phone. Security Advisory: Please be aware,Legitimate
1508.84,3.52,0.223,Present,Trusted/Corporate,Present,"Hi, here is the updated design mockup for the landing page. Let me know what you think. Hi, here is the updated design mockup for the landing page. Let me know what you think. Hi, here is the updated design mockup for the landing page. Let me know what you think. Hi, here is the updated design mockup for the landing page. Let me know what you think. Hi, here is the updated design mockup for the landing page. Let me know what you think. Hi, here is the updated design mockup for the landing page. Let me know what you think. Hi, here is the updated design mockup for the landing page. Let me know what you think. Hi, here is the updated design mockup for the landing page. Let me know what you think. Hi, here is the updated design mockup for the landing page. Let me know what you think. Hi, here is the updated design mockup for the landing page. Let me know what you think. Hi, here is the updated design mockup for the landing page. Let me know what you think. Hi, here is the updated design mockup for the landing page. Let me know what you think. Hi, here is the updated design mockup for the landing page. Let me know what you think. Hi, here is the updated design mockup for the landing page. Let me know what you think. Hi, here is the updated design mockup for the landing page. Let me know what you think. Hi, here is the updated design mockup for the landing page. Let me know what you think. Hi, here is the updated design mockup for the landing page. Let me know what you think. Hi, here is",Legitimate
3635.47,1.45,0.00432,Present,Trusted/Corporate,Absent,"Final Notice: Tax refund of ,250 pending approval. Submit your banking credentials at http://tax-refund-gov.net/claim to receive your payment. Final Notice: Tax refund of ,250 pending approval. Submit your banking credentials at http://tax-refund-gov.net/claim to receive your payment. Final Notice: Tax refund of ,250 pending approval. Submit your banking credentials at http://tax-refund-gov.net/claim to receive your payment. Final Notice: Tax refund of ,250 pending approval. Submit your banking credentials at http://tax-refund-gov.net/claim to receive your payment. Final Notice: Tax refund of ,250 pending approval. Submit your banking credentials at http://tax-refund-gov.net/claim to receive your payment. Final Notice: Tax refund of ,250 pending approval. Submit your banking credentials at http://tax-refund-gov.net/claim to receive your payment. Final Notice: Tax refund of ,250 pending approval. Submit your banking credentials at http://tax-refund-gov.net/claim to receive your payment. Final Notice: Tax refund of ,250 pending approval. Submit your banking credentials at http://tax-refund-gov.net/claim to receive your payment. Final Notice: Tax refund of ,250 pending approval. Submit your banking credentials at http://tax-refund-gov.net/claim to receive your payment. Final Notice: Tax refund of ,250 pending approval. Submit your banking credentials at http://tax-refund-gov.net/claim to receive your payment. Final Notice: Tax refund of ,250 pending approval. Submit your banking credentials at http://tax-refund-gov.net/claim to receive your payment. Final Notice: Tax refund of ,250 pending approval. Submit your banking credentials at http://tax-refund-gov.net/claim to receive your payment. Final Notice: Tax refund of ,250 pending approval. Submit your banking credentials at http://tax-refund-gov.net/claim to receive your payment. Final Notice: Tax refund of ,250 pending approval. Submit your banking credentials at http://tax-refund-gov.net/claim to receive your payment. Final Notice: Tax refund of ,250 pending approval. Submit your banking credentials at http://tax-refund-gov.net/claim to receive your payment. Final Notice: Tax refund of ,250 pending approval. Submit your banking credentials at http://tax-refund-gov.net/claim to receive your payment. Final Notice: Tax refund of ,250 pending approval. Submit your banking credentials at http://tax-refund-gov.net/claim to receive your payment. Final Notice: Tax refund of ,250 pending approval. Submit your banking credentials at http://tax-refund-gov.net/claim to receive your payment. Final Notice: Tax refund of ,250 pending approval. Submit your banking credentials at http://tax-refund-gov.net/claim to receive your payment. Final Notice: Tax refund of ,250 pending approval. Submit your banking credentials at http://tax-refund-gov.net/claim to receive your payment. Final Notice: Tax refund of ,250 pending approval. Submit your banking credentials at http://tax-refund-gov.net/claim to receive your payment. Final Notice: Tax refund of ,250 pending approval. Submit your banking credentials at http://tax-refund-gov.net/claim to receive your payment. Final Notice: Tax refund of ,250 pending approval. Submit your banking credentials at http://tax-refund-gov.net/claim to receive your payment. Final Notice: Tax refund of ,250 pending approval. Submit your banking credentials at http://tax-refund-gov.net/claim to receive your payment. Final Notice: Tax refund of ,250 pending approval. Submit your banking credentials at http://tax-refund-gov.net/claim to receive your payment. Final Notice: Tax refund of ,250 pending approval. Submit yo",Phishing
253.24,3.62,0.0378,Absent,Trusted/Corporate,Present,You have received an encrypted document. Click http://doc-share-login.com/view to sign in with your email password and view the file. You have received an encrypted document. Click http://doc-share-login.com/view to sign in with your email password and,Phishing
468.34,2.57,0.161,Absent,Trusted/Corporate,Present,"Hi, here is the updated design mockup for the landing page. Let me know what you think. Hi, here is the updated design mockup for the landing page. Let me know what you think. Hi, here is the updated design mockup for the landing page. Let me know what you think. Hi, here is the updated design mockup for the landing page. Let me know what you think. Hi, here is the updated design mockup for the landing page. Let me know what you think. Hi, here is the updated desi",Legitimate
204.42,0.197,0.504,Present,Free-Webmail/Common Provider,Present,Immediate Action Required: Your credit card payment failed. Update your billing details at http://bank-update-billing.org/verify to avoid service interruption. Immediate Action Required: Your credit card,Phishing
2956.29,2.98,2.25,Present,Free-Webmail/Common Provider,Present,Warning: Your mailbox is 99% full. Click http://mail-storage-update.com/login to upgrade your email storage immediately. Warning: Your mailbox is 99% full. Click http://mail-storage-update.com/login to upgrade your email storage immediately. Warning: Your mailbox is 99% full. Click http://mail-storage-update.com/login to upgrade your email storage immediately. Warning: Your mailbox is 99% full. Click http://mail-storage-update.com/login to upgrade your email storage immediately. Warning: Your mailbox is 99% full. Click http://mail-storage-update.com/login to upgrade your email storage immediately. Warning: Your mailbox is 99% full. Click http://mail-storage-update.com/login to upgrade your email storage immediately. Warning: Your mailbox is 99% full. Click http://mail-storage-update.com/login to upgrade your email storage immediately. Warning: Your mailbox is 99% full. Click http://mail-storage-update.com/login to upgrade your email storage immediately. Warning: Your mailbox is 99% full. Click http://mail-storage-update.com/login to upgrade your email storage immediately. Warning: Your mailbox is 99% full. Click http://mail-storage-update.com/login to upgrade your email storage immediately. Warning: Your mailbox is 99% full. Click http://mail-storage-update.com/login to upgrade your email storage immediately. Warning: Your mailbox is 99% full. Click http://mail-storage-update.com/login to upgrade your email storage immediately. Warning: Your mailbox is 99% full. Click http://mail-storage-update.com/login to upgrade your email storage immediately. Warning: Your mailbox is 99% full. Click http://mail-storage-update.com/login to upgrade your email storage immediately. Warning: Your mailbox is 99% full. Click http://mail-storage-update.com/login to upgrade your email storage immediately. Warning: Your mailbox is 99% full. Click http://mail-storage-update.com/login to upgrade your email storage immediately. Warning: Your mailbox is 99% full. Click http://mail-storage-update.com/login to upgrade your email storage immediately. Warning: Your mailbox is 99% full. Click http://mail-storage-update.com/login to upgrade your email storage immediately. Warning: Your mailbox is 99% full. Click http://mail-storage-update.com/login to upgrade your email storage immediately. Warning: Your mailbox is 99% full. Click http://mail-storage-update.com/login to upgrade your email storage immediately. Warning: Your mailbox is 99% full. Click http://mail-storage-update.com/login to upgrade your email storage immediately. Warning: Your mailbox is 99% full. Click http://mail-storage-update.com/login to upgrade your email storage immediately. Warning: Your mailbox is 99% full. Click http://mail-storage-update.com/login to upgrade your email storage immediately. Warning: Your mailbox is 99% full. Click http://mail-storage-update.com/login to upgrade your email storage immediately. Warning: Your mailbox is 99% full. Click http://mail,Phishing
422.77,1.64,0.00092,Present,Trusted/Corporate,Present,"Final Notice: Tax refund of ,250 pending approval. Submit your banking credentials at http://tax-refund-gov.net/claim to receive your payment. Final Notice: Tax refund of ,250 pending approval. Submit your banking credentials at http://tax-refund-gov.net/claim to receive your payment. Final Notice: Tax refund of ,250 pending approval. Submit your banking credentials at http://tax-refund-gov.net/claim to receive your pa",Phishing
525.41,4.43,0.102,Present,Free-Webmail/Common Provider,Present,Security Alert: Unauthorized login attempt detected from unknown IP. Update your password now at http://paypal-verify-security.net/auth to secure your funds. Security Alert: Unauthorized login attempt detected from unknown IP. Update your password now at http://paypal-verify-security.net/auth to secure your funds. Security Alert: Unauthorized login attempt detected from unknown IP. Update your password now at http://paypal-verify-security.net/auth to secure your funds. Security Alert: Unauthorized login attempt detected,Phishing
1202.43,1.99,0.521,Absent,Trusted/Corporate,Present,"Hi, here is the updated design mockup for the landing page. Let me know what you think. Hi, here is the updated design mockup for the landing page. Let me know what you think. Hi, here is the updated design mockup for the landing page. Let me know what you think. Hi, here is the updated design mockup for the landing page. Let me know what you think. Hi, here is the updated design mockup for the landing page. Let me know what you think. Hi, here is the updated design mockup for the landing page. Let me know what you think. Hi, here is the updated design mockup for the landing page. Let me know what you think. Hi, here is the updated design mockup for the landing page. Let me know what you think. Hi, here is the updated design mockup for the landing page. Let me know what you think. Hi, here is the updated design mockup for the landing page. Let me know what you think. Hi, here is the updated design mockup for the landing page. Let me know what you think. Hi, here is the updated design mockup for the landing page. Let me know what you think. Hi, here is the updated design mockup for the landing page. Let me know what you think. Hi, here is the updated design mockup for the landing page",Legitimate
626.17,2.31,0.154,Absent,Trusted/Corporate,Present,"Hi John, hope you are doing well. Quick check on the quarterly budget numbers when you have a chance. Hi John, hope you are doing well. Quick check on the quarterly budget numbers when you have a chance. Hi John, hope you are doing well. Quick check on the quarterly budget numbers when you have a chance. Hi John, hope you are doing well. Quick check on the quarterly budget numbers when you have a chance. Hi John, hope you are doing well. Quick check on the quarterly budget numbers when you have a chance. Hi John, hope you are doing well. Quick check on the quarterly budget numbers when you have a chance. Hi John, hope",Legitimate
623.96,5.05,1.35,Absent,Free-Webmail/Common Provider,Present,Meeting invitation: Weekly Engineering Sync on Zoom. Agenda: Architecture review and sprint planning. Meeting invitation: Weekly Engineering Sync on Zoom. Agenda: Architecture review and sprint planning. Meeting invitation: Weekly Engineering Sync on Zoom. Agenda: Architecture review and sprint planning. Meeting invitation: Weekly Engineering Sync on Zoom. Agenda: Architecture review and sprint planning. Meeting invitation: Weekly Engineering Sync on Zoom. Agenda: Architecture review and sprint planning. Meeting invitation: Weekly Engineering Sync on Zoom. Agenda: Architecture review and sprint planning. Meeting inv,Legitimate
1711.59,4.19,0.142,Absent,Free-Webmail/Common Provider,Absent,Meeting invitation: Weekly Engineering Sync on Zoom. Agenda: Architecture review and sprint planning. Meeting invitation: Weekly Engineering Sync on Zoom. Agenda: Architecture review and sprint planning. Meeting invitation: Weekly Engineering Sync on Zoom. Agenda: Architecture review and sprint planning. Meeting invitation: Weekly Engineering Sync on Zoom. Agenda: Architecture review and sprint planning. Meeting invitation: Weekly Engineering Sync on Zoom. Agenda: Architecture review and sprint planning. Meeting invitation: Weekly Engineering Sync on Zoom. Agenda: Architecture review and sprint planning. Meeting invitation: Weekly Engineering Sync on Zoom. Agenda: Architecture review and sprint planning. Meeting invitation: Weekly Engineering Sync on Zoom. Agenda: Architecture review and sprint planning. Meeting invitation: Weekly Engineering Sync on Zoom. Agenda: Architecture review and sprint planning. Meeting invitation: Weekly Engineering Sync on Zoom. Agenda: Architecture review and sprint planning. Meeting invitation: Weekly Engineering Sync on Zoom. Agenda: Architecture review and sprint planning. Meeting invitation: Weekly Engineering Sync on Zoom. Agenda: Architecture review and sprint planning. Meeting invitation: Weekly Engineering Sync on Zoom. Agenda: Architecture review and sprint planning. Meeting invitation: Weekly Engineering Sync on Zoom. Agenda: Architecture review and sprint planning. Meeting invitation: Weekly Engineering Sync on Zoom. Agenda: Architecture review and sprint planning. Meeting invitation: Weekly Engineering Sync on Zoom. Agenda: Architecture review and sprint planning. Meeting invitation: Weekly Engineering Sync on Zoom. Agenda: Architecture revie,Legitimate
201.69,2.55,0.296,Absent,Trusted/Corporate,Present,Security Alert: Unauthorized login attempt detected from unknown IP. Update your password now at http://paypal-verify-security.net/auth to secure your funds. Security Alert: Unauthorized login attempt,Phishing
337.22,1.8,0.44,Absent,Suspicious/Spoofed,Present,"Hi, here is the updated design mockup for the landing page. Let me know what you think. Hi, here is the updated design mockup for the landing page. Let me know what you think. Hi, here is the updated design mockup for the landing page. Let me know what you think. Hi, here is the updated design mockup for the landing page. Let me know w",Legitimate
226.01,1.84,0.0472,Absent,Trusted/Corporate,Present,You have received an encrypted document. Click http://doc-share-login.com/view to sign in with your email password and view the file. You have received an encrypted document. Click http://doc-share-login.com/view to sign in wi,Phishing
348.49,1.63,0.422,Present,Trusted/Corporate,Absent,"Final Notice: Tax refund of ,250 pending approval. Submit your banking credentials at http://tax-refund-gov.net/claim to receive your payment. Final Notice: Tax refund of ,250 pending approval. Submit your banking credentials at http://tax-refund-gov.net/claim to receive your payment. Final Notice: Tax refund of ,250 pending approval. Submit your",Phishing
1696.78,2.94,0.565,Absent,Free-Webmail/Common Provider,Present,"Hi team, attached is the monthly project report. Please review the slides before our meeting tomorrow at 10 AM. Hi team, attached is the monthly project report. Please review the slides before our meeting tomorrow at 10 AM. Hi team, attached is the monthly project report. Please review the slides before our meeting tomorrow at 10 AM. Hi team, attached is the monthly project report. Please review the slides before our meeting tomorrow at 10 AM. Hi team, attached is the monthly project report. Please review the slides before our meeting tomorrow at 10 AM. Hi team, attached is the monthly project report. Please review the slides before our meeting tomorrow at 10 AM. Hi team, attached is the monthly project report. Please review the slides before our meeting tomorrow at 10 AM. Hi team, attached is the monthly project report. Please review the slides before our meeting tomorrow at 10 AM. Hi team, attached is the monthly project report. Please review the slides before our meeting tomorrow at 10 AM. Hi team, attached is the monthly project report. Please review the slides before our meeting tomorrow at 10 AM. Hi team, attached is the monthly project report. Please review the slides before our meeting tomorrow at 10 AM. Hi team, attached is the monthly project report. Please review the slides before our meeting tomorrow at 10 AM. Hi team, attached is the monthly project report. Please review the slides before our meeting tomorrow at 10 AM. Hi team, attached is the monthly project report. Please review the slides before our meeting tomorrow at 10 AM. Hi team, attached is the monthly project report. Please review the slides before our meeting tomorrow at 10 AM. Hi team, attache",Legitimate
315.75,0.778,1.42,Present,Suspicious/Spoofed,Present,"Hi John, hope you are doing well. Quick check on the quarterly budget numbers when you have a chance. Hi John, hope you are doing well. Quick check on the quarterly budget numbers when you have a chance. Hi John, hope you are doing well. Quick check on the quarterly budget numbers when you have a chance. Hi John,",Legitimate
2590.76,0.739,0.0213,Absent,Trusted/Corporate,Present,Security Alert: Unauthorized login attempt detected from unknown IP. Update your password now at http://paypal-verify-security.net/auth to secure your funds. Security Alert: Unauthorized login attempt detected from unknown IP. Update your password now at http://paypal-verify-security.net/auth to secure your funds. Security Alert: Unauthorized login attempt detected from unknown IP. Update your password now at http://paypal-verify-security.net/auth to secure your funds. Security Alert: Unauthorized login attempt detected from unknown IP. Update your password now at http://paypal-verify-security.net/auth to secure your funds. Security Alert: Unauthorized login attempt detected from unknown IP. Update your password now at http://paypal-verify-security.net/auth to secure your funds. Security Alert: Unauthorized login attempt detected from unknown IP. Update your password now at http://paypal-verify-security.net/auth to secure your funds. Security Alert: Unauthorized login attempt detected from unknown IP. Update your password now at http://paypal-verify-security.net/auth to secure your funds. Security Alert: Unauthorized login attempt detected from unknown IP. Update your password now at http://paypal-verify-security.net/auth to secure your funds. Security Alert: Unauthorized login attempt detected from unknown IP. Update your password now at http://paypal-verify-security.net/auth to secure your funds. Security Alert: Unauthorized login attempt detected from unknown IP. Update your password now at http://paypal-verify-security.net/auth to secure your funds. Security Alert: Unauthorized login attempt detected from unknown IP. Update your password now at http://paypal-verify-security.net/auth to secure your funds. Security Alert: Unauthorized login attempt detected from unknown IP. Update your password now at http://paypal-verify-security.net/auth to secure your funds. Security Alert: Unauthorized login attempt detected from unknown IP. Update your password now at http://paypal-verify-security.net/auth to secure your funds. Security Alert: Unauthorized login attempt detected from unknown IP. Update your password now at http://paypal-verify-security.net/auth to secure your funds. Security Alert: Unauthorized login attempt detected from unknown IP. Update your password now at http://paypal-verify-security.net/auth to secure your funds. Security Alert: Unauthorized login attempt detected from unknown IP. Update your password now at http://paypal-verify-security.net/auth to secure your funds. Security Alert: Unauthorized login attempt detected from unkno,Phishing
550.52,1.11,1.86e-05,Absent,Trusted/Corporate,Present,Warning: Your mailbox is 99% full. Click http://mail-storage-update.com/login to upgrade your email storage immediately. Warning: Your mailbox is 99% full. Click http://mail-storage-update.com/login to upgrade your email storage immediately. Warning: Your mailbox is 99% full. Click http://mail-storage-update.com/login to upgrade your email storage immediately. Warning: Your mailbox is 99% full. Click http://mail-storage-update.com/login to upgrade your email storage immediately. Warning: Your mailbox is 99% full. Click http://mail-storage-updat,Phishing
376.39,1.39,0.542,Present,Suspicious/Spoofed,Present,Your order #94012 has shipped! Track your package delivery status online or view receipt. Your order #94012 has shipped! Track your package delivery status online or view receipt. Your order #94012 has shipped! Track your package delivery status online or view receipt. Your order #94012 has shipped! Track your package delivery status online or view receipt. Your order #9401,Legitimate
505.52,4.15,0.226,Absent,Free-Webmail/Common Provider,Absent,"Hi John, hope you are doing well. Quick check on the quarterly budget numbers when you have a chance. Hi John, hope you are doing well. Quick check on the quarterly budget numbers when you have a chance. Hi John, hope you are doing well. Quick check on the quarterly budget numbers when you have a chance. Hi John, hope you are doing well. Quick check on the quarterly budget numbers when you have a chance. Hi John, hope you are doing well. Quick check on the quarterly budget numbers when you have a cha",Legitimate
546.13,2.15,0.606,Absent,Trusted/Corporate,Present,"Hi team, attached is the monthly project report. Please review the slides before our meeting tomorrow at 10 AM. Hi team, attached is the monthly project report. Please review the slides before our meeting tomorrow at 10 AM. Hi team, attached is the monthly project report. Please review the slides before our meeting tomorrow at 10 AM. Hi team, attached is the monthly project report. Please review the slides before our meeting tomorrow at 10 AM. Hi team, attached is the monthly project report. Please review the slides before our meeting tomor",Legitimate
